"environment"	"difficulty"	"option.order"	"trial"	"a"	"b"	"c"
"2672"	"stable"	"hard"	"bgm"	112	-11	30	-30
"2696"	"stable"	"hard"	"bgm"	113	-43	4	-25
"2720"	"stable"	"hard"	"bgm"	114	65	4	-81
"2744"	"stable"	"hard"	"bgm"	115	-19	1	10
"2768"	"stable"	"hard"	"bgm"	116	7	2	20
"2792"	"stable"	"hard"	"bgm"	117	-19	22	-1
"2816"	"stable"	"hard"	"bgm"	118	-9	51	-29
"2840"	"stable"	"hard"	"bgm"	119	-38	-4	-30
"2864"	"stable"	"hard"	"bgm"	120	31	-10	33
"2888"	"stable"	"hard"	"bgm"	121	38	-15	-15
"2912"	"stable"	"hard"	"bgm"	122	-48	18	44
"2936"	"stable"	"hard"	"bgm"	123	32	12	-11
"2960"	"stable"	"hard"	"bgm"	124	6	-35	34
"2984"	"stable"	"hard"	"bgm"	125	8	75	-72
"3008"	"stable"	"hard"	"bgm"	126	-37	9	-36
"3032"	"stable"	"hard"	"bgm"	127	0	32	20
"3056"	"stable"	"hard"	"bgm"	128	-5	17	56
"3080"	"stable"	"hard"	"bgm"	129	-19	38	-37
"3104"	"stable"	"hard"	"bgm"	130	23	5	37
"3128"	"stable"	"hard"	"bgm"	131	-63	28	-46
"3152"	"stable"	"hard"	"bgm"	132	-25	-3	-43
"3176"	"stable"	"hard"	"bgm"	133	11	21	59
"3200"	"stable"	"hard"	"bgm"	134	-68	-41	-7
"3224"	"stable"	"hard"	"bgm"	135	-58	-70	22
"3248"	"stable"	"hard"	"bgm"	136	-49	18	-10
"3272"	"stable"	"hard"	"bgm"	137	20	22	41
"3296"	"stable"	"hard"	"bgm"	138	28	36	27
"3320"	"stable"	"hard"	"bgm"	139	-23	-25	49
"3344"	"stable"	"hard"	"bgm"	140	-27	-16	-16
"3368"	"stable"	"hard"	"bgm"	141	16	19	18
"3392"	"stable"	"hard"	"bgm"	142	32	43	48
"3416"	"stable"	"hard"	"bgm"	143	2	-41	-38
"3440"	"stable"	"hard"	"bgm"	144	-1	-52	-10
"3464"	"stable"	"hard"	"bgm"	145	10	15	0
"3488"	"stable"	"hard"	"bgm"	146	-6	-56	-28
"3512"	"stable"	"hard"	"bgm"	147	-30	31	1
"3536"	"stable"	"hard"	"bgm"	148	6	4	-4
"3560"	"stable"	"hard"	"bgm"	149	-32	0	-22
"3584"	"stable"	"hard"	"bgm"	150	-7	5	13
"3608"	"stable"	"hard"	"bgm"	151	30	-19	3
"3632"	"stable"	"hard"	"bgm"	152	22	16	32
"3656"	"stable"	"hard"	"bgm"	153	-43	15	-11
"3680"	"stable"	"hard"	"bgm"	154	11	40	1
"3704"	"stable"	"hard"	"bgm"	155	47	-16	25
"3728"	"stable"	"hard"	"bgm"	156	-8	4	4
"3752"	"stable"	"hard"	"bgm"	157	12	-58	-5
"3776"	"stable"	"hard"	"bgm"	158	-40	32	-25
"3800"	"stable"	"hard"	"bgm"	159	-52	59	0
"3824"	"stable"	"hard"	"bgm"	160	-46	43	-19
"3848"	"stable"	"hard"	"bgm"	161	-9	5	-63
"3872"	"stable"	"hard"	"bgm"	162	-25	15	29
"3896"	"stable"	"hard"	"bgm"	163	-5	-46	-51
"3920"	"stable"	"hard"	"bgm"	164	29	30	-27
"3944"	"stable"	"hard"	"bgm"	165	-20	-6	30
"3968"	"stable"	"hard"	"bgm"	166	8	-3	6
"3992"	"stable"	"hard"	"bgm"	167	31	-1	-19
"4016"	"stable"	"hard"	"bgm"	168	13	3	26
"4040"	"stable"	"hard"	"bgm"	169	-4	-24	53
"4064"	"stable"	"hard"	"bgm"	170	-34	15	1
"4088"	"stable"	"hard"	"bgm"	171	-7	39	-21
"4112"	"stable"	"hard"	"bgm"	172	24	-24	42
"4136"	"stable"	"hard"	"bgm"	173	-77	5	11
"4160"	"stable"	"hard"	"bgm"	174	-7	-23	21
"4184"	"stable"	"hard"	"bgm"	175	-10	53	-25
"4208"	"stable"	"hard"	"bgm"	176	-23	-10	-6
"4232"	"stable"	"hard"	"bgm"	177	29	-84	16
"4256"	"stable"	"hard"	"bgm"	178	33	45	11
"4280"	"stable"	"hard"	"bgm"	179	-12	31	-19
"4304"	"stable"	"hard"	"bgm"	180	10	16	-27
"4328"	"stable"	"hard"	"bgm"	181	-12	36	25
"4352"	"stable"	"hard"	"bgm"	182	59	34	-8
"4376"	"stable"	"hard"	"bgm"	183	-25	17	-12
"4400"	"stable"	"hard"	"bgm"	184	-56	27	99
"4424"	"stable"	"hard"	"bgm"	185	3	-6	-11
"4448"	"stable"	"hard"	"bgm"	186	-23	-7	2
"4472"	"stable"	"hard"	"bgm"	187	-17	-10	-16
"4496"	"stable"	"hard"	"bgm"	188	35	-52	4
"4520"	"stable"	"hard"	"bgm"	189	4	40	30
"4544"	"stable"	"hard"	"bgm"	190	-22	-7	-35
"4568"	"stable"	"hard"	"bgm"	191	37	19	-3
"4592"	"stable"	"hard"	"bgm"	192	-33	32	-10
"4616"	"stable"	"hard"	"bgm"	193	29	-5	-8
"4640"	"stable"	"hard"	"bgm"	194	-11	38	-25
"4664"	"stable"	"hard"	"bgm"	195	-75	-29	-8
"4688"	"stable"	"hard"	"bgm"	196	30	-12	3
"4712"	"stable"	"hard"	"bgm"	197	-4	9	1
"4736"	"stable"	"hard"	"bgm"	198	-22	59	-7
"4760"	"stable"	"hard"	"bgm"	199	-61	17	25
"4784"	"stable"	"hard"	"bgm"	200	7	-17	5
"4"	"stable"	"hard"	"bmg"	1	-28	-11	-20
"28"	"stable"	"hard"	"bmg"	2	-20	-29	13
"52"	"stable"	"hard"	"bmg"	3	-33	-22	-25
"76"	"stable"	"hard"	"bmg"	4	34	-20	-10
"100"	"stable"	"hard"	"bmg"	5	-14	-20	2
"124"	"stable"	"hard"	"bmg"	6	6	-2	0
"148"	"stable"	"hard"	"bmg"	7	-66	-35	44
"172"	"stable"	"hard"	"bmg"	8	-31	-8	12
"196"	"stable"	"hard"	"bmg"	9	14	23	27
"220"	"stable"	"hard"	"bmg"	10	-32	-43	7
"244"	"stable"	"hard"	"bmg"	11	-8	-24	18
"268"	"stable"	"hard"	"bmg"	12	-49	27	23
"292"	"stable"	"hard"	"bmg"	13	-3	24	31
"316"	"stable"	"hard"	"bmg"	14	2	0	-24
"340"	"stable"	"hard"	"bmg"	15	-39	-52	11
"364"	"stable"	"hard"	"bmg"	16	-1	-10	-32
"388"	"stable"	"hard"	"bmg"	17	21	-94	-38
"412"	"stable"	"hard"	"bmg"	18	-4	14	12
"436"	"stable"	"hard"	"bmg"	19	-4	49	-14
"460"	"stable"	"hard"	"bmg"	20	-9	28	24
"484"	"stable"	"hard"	"bmg"	21	26	16	-19
"508"	"stable"	"hard"	"bmg"	22	16	13	8
"532"	"stable"	"hard"	"bmg"	23	-26	63	-25
"556"	"stable"	"hard"	"bmg"	24	28	37	16
"580"	"stable"	"hard"	"bmg"	25	-22	-18	18
"604"	"stable"	"hard"	"bmg"	26	-46	3	25
"628"	"stable"	"hard"	"bmg"	27	71	7	44
"652"	"stable"	"hard"	"bmg"	28	21	-19	-45
"676"	"stable"	"hard"	"bmg"	29	-10	-30	2
"700"	"stable"	"hard"	"bmg"	30	21	24	-9
"724"	"stable"	"hard"	"bmg"	31	-27	31	-13
"748"	"stable"	"hard"	"bmg"	32	3	22	18
"772"	"stable"	"hard"	"bmg"	33	43	5	-28
"796"	"stable"	"hard"	"bmg"	34	-23	47	46
"820"	"stable"	"hard"	"bmg"	35	-5	-6	-6
"844"	"stable"	"hard"	"bmg"	36	-8	-33	-3
"868"	"stable"	"hard"	"bmg"	37	-22	-9	-16
"892"	"stable"	"hard"	"bmg"	38	-8	-37	29
"916"	"stable"	"hard"	"bmg"	39	-5	-10	16
"940"	"stable"	"hard"	"bmg"	40	-20	-6	-40
"964"	"stable"	"hard"	"bmg"	41	-25	-15	6
"988"	"stable"	"hard"	"bmg"	42	21	23	-14
"1012"	"stable"	"hard"	"bmg"	43	-31	31	18
"1036"	"stable"	"hard"	"bmg"	44	15	7	15
"1060"	"stable"	"hard"	"bmg"	45	-7	-23	-38
"1084"	"stable"	"hard"	"bmg"	46	-52	-7	19
"1108"	"stable"	"hard"	"bmg"	47	-21	30	-6
"1132"	"stable"	"hard"	"bmg"	48	-39	6	3
"1156"	"stable"	"hard"	"bmg"	49	-14	-35	-62
"1180"	"stable"	"hard"	"bmg"	50	0	27	58
"1204"	"stable"	"hard"	"bmg"	51	-48	-15	35
"1228"	"stable"	"hard"	"bmg"	52	15	43	6
"1252"	"stable"	"hard"	"bmg"	53	-11	21	-26
"1276"	"stable"	"hard"	"bmg"	54	-4	13	-6
"1300"	"stable"	"hard"	"bmg"	55	-2	-57	55
"1324"	"stable"	"hard"	"bmg"	56	-3	35	-25
"1348"	"stable"	"hard"	"bmg"	57	52	-18	31
"1372"	"stable"	"hard"	"bmg"	58	-8	21	17
"1396"	"stable"	"hard"	"bmg"	59	-29	38	0
"1420"	"stable"	"hard"	"bmg"	60	24	-14	1
"1444"	"stable"	"hard"	"bmg"	61	20	-51	12
"1468"	"stable"	"hard"	"bmg"	62	-32	-43	24
"1492"	"stable"	"hard"	"bmg"	63	-1	-4	64
"1516"	"stable"	"hard"	"bmg"	64	35	-18	8
"1540"	"stable"	"hard"	"bmg"	65	-6	25	12
"1564"	"stable"	"hard"	"bmg"	66	17	-48	-50
"1588"	"stable"	"hard"	"bmg"	67	16	1	61
"1612"	"stable"	"hard"	"bmg"	68	4	-24	-2
"1636"	"stable"	"hard"	"bmg"	69	-37	-17	14
"1660"	"stable"	"hard"	"bmg"	70	14	-1	-15
"1684"	"stable"	"hard"	"bmg"	71	46	-24	55
"1708"	"stable"	"hard"	"bmg"	72	41	-6	-8
"1732"	"stable"	"hard"	"bmg"	73	-29	-48	0
"1756"	"stable"	"hard"	"bmg"	74	9	-41	40
"1780"	"stable"	"hard"	"bmg"	75	22	11	-1
"1804"	"stable"	"hard"	"bmg"	76	6	44	-1
"1828"	"stable"	"hard"	"bmg"	77	15	30	35
"1852"	"stable"	"hard"	"bmg"	78	27	16	65
"1876"	"stable"	"hard"	"bmg"	79	20	49	-12
"1900"	"stable"	"hard"	"bmg"	80	-80	0	15
"1924"	"stable"	"hard"	"bmg"	81	0	10	-9
"1948"	"stable"	"hard"	"bmg"	82	-6	-4	10
"1972"	"stable"	"hard"	"bmg"	83	33	8	17
"1996"	"stable"	"hard"	"bmg"	84	-17	17	4
"2020"	"stable"	"hard"	"bmg"	85	0	-19	-14
"2044"	"stable"	"hard"	"bmg"	86	13	-13	32
"2068"	"stable"	"hard"	"bmg"	87	55	57	-7
"2092"	"stable"	"hard"	"bmg"	88	-5	-11	-34
"2116"	"stable"	"hard"	"bmg"	89	-38	21	0
"2140"	"stable"	"hard"	"bmg"	90	-23	44	20
"2164"	"stable"	"hard"	"bmg"	91	10	-69	34
"2188"	"stable"	"hard"	"bmg"	92	-17	11	-31
"2212"	"stable"	"hard"	"bmg"	93	-63	-41	14
"2236"	"stable"	"hard"	"bmg"	94	-19	12	-5
"2260"	"stable"	"hard"	"bmg"	95	-17	-5	42
"2284"	"stable"	"hard"	"bmg"	96	-17	45	1
"2308"	"stable"	"hard"	"bmg"	97	-27	10	-16
"2332"	"stable"	"hard"	"bmg"	98	9	33	-44
"2356"	"stable"	"hard"	"bmg"	99	-44	8	-17
"2380"	"stable"	"hard"	"bmg"	100	-9	25	17
"2404"	"stable"	"hard"	"bmg"	101	-36	12	14
"2428"	"stable"	"hard"	"bmg"	102	6	5	-18
"2452"	"stable"	"hard"	"bmg"	103	28	0	-17
"2476"	"stable"	"hard"	"bmg"	104	11	53	3
"2500"	"stable"	"hard"	"bmg"	105	7	55	27
"2524"	"stable"	"hard"	"bmg"	106	49	-32	3
"2548"	"stable"	"hard"	"bmg"	107	23	-8	6
"2572"	"stable"	"hard"	"bmg"	108	46	-25	-5
"2596"	"stable"	"hard"	"bmg"	109	-31	2	-86
"2620"	"stable"	"hard"	"bmg"	110	-28	1	13
"2644"	"stable"	"hard"	"bmg"	111	4	-53	29
"2668"	"stable"	"hard"	"bmg"	112	-11	-30	30
"2692"	"stable"	"hard"	"bmg"	113	-43	-25	4
"2716"	"stable"	"hard"	"bmg"	114	65	-81	4
"2740"	"stable"	"hard"	"bmg"	115	-19	10	1
"2764"	"stable"	"hard"	"bmg"	116	7	20	2
"2788"	"stable"	"hard"	"bmg"	117	-19	-1	22
"2812"	"stable"	"hard"	"bmg"	118	-9	-29	51
"2836"	"stable"	"hard"	"bmg"	119	-38	-30	-4
"2860"	"stable"	"hard"	"bmg"	120	31	33	-10
"2884"	"stable"	"hard"	"bmg"	121	38	-15	-15
"2908"	"stable"	"hard"	"bmg"	122	-48	44	18
"2932"	"stable"	"hard"	"bmg"	123	32	-11	12
"2956"	"stable"	"hard"	"bmg"	124	6	34	-35
"2980"	"stable"	"hard"	"bmg"	125	8	-72	75
"3004"	"stable"	"hard"	"bmg"	126	-37	-36	9
"3028"	"stable"	"hard"	"bmg"	127	0	20	32
"3052"	"stable"	"hard"	"bmg"	128	-5	56	17
"3076"	"stable"	"hard"	"bmg"	129	-19	-37	38
"3100"	"stable"	"hard"	"bmg"	130	23	37	5
"3124"	"stable"	"hard"	"bmg"	131	-63	-46	28
"3148"	"stable"	"hard"	"bmg"	132	-25	-43	-3
"3172"	"stable"	"hard"	"bmg"	133	11	59	21
"3196"	"stable"	"hard"	"bmg"	134	-68	-7	-41
"3220"	"stable"	"hard"	"bmg"	135	-58	22	-70
"3244"	"stable"	"hard"	"bmg"	136	-49	-10	18
"3268"	"stable"	"hard"	"bmg"	137	20	41	22
"3292"	"stable"	"hard"	"bmg"	138	28	27	36
"3316"	"stable"	"hard"	"bmg"	139	-23	49	-25
"3340"	"stable"	"hard"	"bmg"	140	-27	-16	-16
"3364"	"stable"	"hard"	"bmg"	141	16	18	19
"3388"	"stable"	"hard"	"bmg"	142	32	48	43
"3412"	"stable"	"hard"	"bmg"	143	2	-38	-41
"3436"	"stable"	"hard"	"bmg"	144	-1	-10	-52
"3460"	"stable"	"hard"	"bmg"	145	10	0	15
"3484"	"stable"	"hard"	"bmg"	146	-6	-28	-56
"3508"	"stable"	"hard"	"bmg"	147	-30	1	31
"3532"	"stable"	"hard"	"bmg"	148	6	-4	4
"3556"	"stable"	"hard"	"bmg"	149	-32	-22	0
"3580"	"stable"	"hard"	"bmg"	150	-7	13	5
"3604"	"stable"	"hard"	"bmg"	151	30	3	-19
"3628"	"stable"	"hard"	"bmg"	152	22	32	16
"3652"	"stable"	"hard"	"bmg"	153	-43	-11	15
"3676"	"stable"	"hard"	"bmg"	154	11	1	40
"3700"	"stable"	"hard"	"bmg"	155	47	25	-16
"3724"	"stable"	"hard"	"bmg"	156	-8	4	4
"3748"	"stable"	"hard"	"bmg"	157	12	-5	-58
"3772"	"stable"	"hard"	"bmg"	158	-40	-25	32
"3796"	"stable"	"hard"	"bmg"	159	-52	0	59
"3820"	"stable"	"hard"	"bmg"	160	-46	-19	43
"3844"	"stable"	"hard"	"bmg"	161	-9	-63	5
"3868"	"stable"	"hard"	"bmg"	162	-25	29	15
"3892"	"stable"	"hard"	"bmg"	163	-5	-51	-46
"3916"	"stable"	"hard"	"bmg"	164	29	-27	30
"3940"	"stable"	"hard"	"bmg"	165	-20	30	-6
"3964"	"stable"	"hard"	"bmg"	166	8	6	-3
"3988"	"stable"	"hard"	"bmg"	167	31	-19	-1
"4012"	"stable"	"hard"	"bmg"	168	13	26	3
"4036"	"stable"	"hard"	"bmg"	169	-4	53	-24
"4060"	"stable"	"hard"	"bmg"	170	-34	1	15
"4084"	"stable"	"hard"	"bmg"	171	-7	-21	39
"4108"	"stable"	"hard"	"bmg"	172	24	42	-24
"4132"	"stable"	"hard"	"bmg"	173	-77	11	5
"4156"	"stable"	"hard"	"bmg"	174	-7	21	-23
"4180"	"stable"	"hard"	"bmg"	175	-10	-25	53
"4204"	"stable"	"hard"	"bmg"	176	-23	-6	-10
"4228"	"stable"	"hard"	"bmg"	177	29	16	-84
"4252"	"stable"	"hard"	"bmg"	178	33	11	45
"4276"	"stable"	"hard"	"bmg"	179	-12	-19	31
"4300"	"stable"	"hard"	"bmg"	180	10	-27	16
"4324"	"stable"	"hard"	"bmg"	181	-12	25	36
"4348"	"stable"	"hard"	"bmg"	182	59	-8	34
"4372"	"stable"	"hard"	"bmg"	183	-25	-12	17
"4396"	"stable"	"hard"	"bmg"	184	-56	99	27
"4420"	"stable"	"hard"	"bmg"	185	3	-11	-6
"4444"	"stable"	"hard"	"bmg"	186	-23	2	-7
"4468"	"stable"	"hard"	"bmg"	187	-17	-16	-10
"4492"	"stable"	"hard"	"bmg"	188	35	4	-52
"4516"	"stable"	"hard"	"bmg"	189	4	30	40
"4540"	"stable"	"hard"	"bmg"	190	-22	-35	-7
"4564"	"stable"	"hard"	"bmg"	191	37	-3	19
"4588"	"stable"	"hard"	"bmg"	192	-33	-10	32
"4612"	"stable"	"hard"	"bmg"	193	29	-8	-5
"4636"	"stable"	"hard"	"bmg"	194	-11	-25	38
"4660"	"stable"	"hard"	"bmg"	195	-75	-8	-29
"4684"	"stable"	"hard"	"bmg"	196	30	3	-12
"4708"	"stable"	"hard"	"bmg"	197	-4	1	9
"4732"	"stable"	"hard"	"bmg"	198	-22	-7	59
"4756"	"stable"	"hard"	"bmg"	199	-61	25	17
"4780"	"stable"	"hard"	"bmg"	200	7	5	-17
"16"	"stable"	"hard"	"gbm"	1	-20	-28	-11
"40"	"stable"	"hard"	"gbm"	2	13	-20	-29
"64"	"stable"	"hard"	"gbm"	3	-25	-33	-22
"88"	"stable"	"hard"	"gbm"	4	-10	34	-20
"112"	"stable"	"hard"	"gbm"	5	2	-14	-20
"136"	"stable"	"hard"	"gbm"	6	0	6	-2
"160"	"stable"	"hard"	"gbm"	7	44	-66	-35
"184"	"stable"	"hard"	"gbm"	8	12	-31	-8
"208"	"stable"	"hard"	"gbm"	9	27	14	23
"232"	"stable"	"hard"	"gbm"	10	7	-32	-43
"256"	"stable"	"hard"	"gbm"	11	18	-8	-24
"280"	"stable"	"hard"	"gbm"	12	23	-49	27
"304"	"stable"	"hard"	"gbm"	13	31	-3	24
"328"	"stable"	"hard"	"gbm"	14	-24	2	0
"352"	"stable"	"hard"	"gbm"	15	11	-39	-52
"376"	"stable"	"hard"	"gbm"	16	-32	-1	-10
"400"	"stable"	"hard"	"gbm"	17	-38	21	-94
"424"	"stable"	"hard"	"gbm"	18	12	-4	14
"448"	"stable"	"hard"	"gbm"	19	-14	-4	49
"472"	"stable"	"hard"	"gbm"	20	24	-9	28
"496"	"stable"	"hard"	"gbm"	21	-19	26	16
"520"	"stable"	"hard"	"gbm"	22	8	16	13
"544"	"stable"	"hard"	"gbm"	23	-25	-26	63
"568"	"stable"	"hard"	"gbm"	24	16	28	37
"592"	"stable"	"hard"	"gbm"	25	18	-22	-18
"616"	"stable"	"hard"	"gbm"	26	25	-46	3
"640"	"stable"	"hard"	"gbm"	27	44	71	7
"664"	"stable"	"hard"	"gbm"	28	-45	21	-19
"688"	"stable"	"hard"	"gbm"	29	2	-10	-30
"712"	"stable"	"hard"	"gbm"	30	-9	21	24
"736"	"stable"	"hard"	"gbm"	31	-13	-27	31
"760"	"stable"	"hard"	"gbm"	32	18	3	22
"784"	"stable"	"hard"	"gbm"	33	-28	43	5
"808"	"stable"	"hard"	"gbm"	34	46	-23	47
"832"	"stable"	"hard"	"gbm"	35	-6	-5	-6
"856"	"stable"	"hard"	"gbm"	36	-3	-8	-33
"880"	"stable"	"hard"	"gbm"	37	-16	-22	-9
"904"	"stable"	"hard"	"gbm"	38	29	-8	-37
"928"	"stable"	"hard"	"gbm"	39	16	-5	-10
"952"	"stable"	"hard"	"gbm"	40	-40	-20	-6
"976"	"stable"	"hard"	"gbm"	41	6	-25	-15
"1000"	"stable"	"hard"	"gbm"	42	-14	21	23
"1024"	"stable"	"hard"	"gbm"	43	18	-31	31
"1048"	"stable"	"hard"	"gbm"	44	15	15	7
"1072"	"stable"	"hard"	"gbm"	45	-38	-7	-23
"1096"	"stable"	"hard"	"gbm"	46	19	-52	-7
"1120"	"stable"	"hard"	"gbm"	47	-6	-21	30
"1144"	"stable"	"hard"	"gbm"	48	3	-39	6
"1168"	"stable"	"hard"	"gbm"	49	-62	-14	-35
"1192"	"stable"	"hard"	"gbm"	50	58	0	27
"1216"	"stable"	"hard"	"gbm"	51	35	-48	-15
"1240"	"stable"	"hard"	"gbm"	52	6	15	43
"1264"	"stable"	"hard"	"gbm"	53	-26	-11	21
"1288"	"stable"	"hard"	"gbm"	54	-6	-4	13
"1312"	"stable"	"hard"	"gbm"	55	55	-2	-57
"1336"	"stable"	"hard"	"gbm"	56	-25	-3	35
"1360"	"stable"	"hard"	"gbm"	57	31	52	-18
"1384"	"stable"	"hard"	"gbm"	58	17	-8	21
"1408"	"stable"	"hard"	"gbm"	59	0	-29	38
"1432"	"stable"	"hard"	"gbm"	60	1	24	-14
"1456"	"stable"	"hard"	"gbm"	61	12	20	-51
"1480"	"stable"	"hard"	"gbm"	62	24	-32	-43
"1504"	"stable"	"hard"	"gbm"	63	64	-1	-4
"1528"	"stable"	"hard"	"gbm"	64	8	35	-18
"1552"	"stable"	"hard"	"gbm"	65	12	-6	25
"1576"	"stable"	"hard"	"gbm"	66	-50	17	-48
"1600"	"stable"	"hard"	"gbm"	67	61	16	1
"1624"	"stable"	"hard"	"gbm"	68	-2	4	-24
"1648"	"stable"	"hard"	"gbm"	69	14	-37	-17
"1672"	"stable"	"hard"	"gbm"	70	-15	14	-1
"1696"	"stable"	"hard"	"gbm"	71	55	46	-24
"1720"	"stable"	"hard"	"gbm"	72	-8	41	-6
"1744"	"stable"	"hard"	"gbm"	73	0	-29	-48
"1768"	"stable"	"hard"	"gbm"	74	40	9	-41
"1792"	"stable"	"hard"	"gbm"	75	-1	22	11
"1816"	"stable"	"hard"	"gbm"	76	-1	6	44
"1840"	"stable"	"hard"	"gbm"	77	35	15	30
"1864"	"stable"	"hard"	"gbm"	78	65	27	16
"1888"	"stable"	"hard"	"gbm"	79	-12	20	49
"1912"	"stable"	"hard"	"gbm"	80	15	-80	0
"1936"	"stable"	"hard"	"gbm"	81	-9	0	10
"1960"	"stable"	"hard"	"gbm"	82	10	-6	-4
"1984"	"stable"	"hard"	"gbm"	83	17	33	8
"2008"	"stable"	"hard"	"gbm"	84	4	-17	17
"2032"	"stable"	"hard"	"gbm"	85	-14	0	-19
"2056"	"stable"	"hard"	"gbm"	86	32	13	-13
"2080"	"stable"	"hard"	"gbm"	87	-7	55	57
"2104"	"stable"	"hard"	"gbm"	88	-34	-5	-11
"2128"	"stable"	"hard"	"gbm"	89	0	-38	21
"2152"	"stable"	"hard"	"gbm"	90	20	-23	44
"2176"	"stable"	"hard"	"gbm"	91	34	10	-69
"2200"	"stable"	"hard"	"gbm"	92	-31	-17	11
"2224"	"stable"	"hard"	"gbm"	93	14	-63	-41
"2248"	"stable"	"hard"	"gbm"	94	-5	-19	12
"2272"	"stable"	"hard"	"gbm"	95	42	-17	-5
"2296"	"stable"	"hard"	"gbm"	96	1	-17	45
"2320"	"stable"	"hard"	"gbm"	97	-16	-27	10
"2344"	"stable"	"hard"	"gbm"	98	-44	9	33
"2368"	"stable"	"hard"	"gbm"	99	-17	-44	8
"2392"	"stable"	"hard"	"gbm"	100	17	-9	25
"2416"	"stable"	"hard"	"gbm"	101	14	-36	12
"2440"	"stable"	"hard"	"gbm"	102	-18	6	5
"2464"	"stable"	"hard"	"gbm"	103	-17	28	0
"2488"	"stable"	"hard"	"gbm"	104	3	11	53
"2512"	"stable"	"hard"	"gbm"	105	27	7	55
"2536"	"stable"	"hard"	"gbm"	106	3	49	-32
"2560"	"stable"	"hard"	"gbm"	107	6	23	-8
"2584"	"stable"	"hard"	"gbm"	108	-5	46	-25
"2608"	"stable"	"hard"	"gbm"	109	-86	-31	2
"2632"	"stable"	"hard"	"gbm"	110	13	-28	1
"2656"	"stable"	"hard"	"gbm"	111	29	4	-53
"2680"	"stable"	"hard"	"gbm"	112	30	-11	-30
"2704"	"stable"	"hard"	"gbm"	113	4	-43	-25
"2728"	"stable"	"hard"	"gbm"	114	4	65	-81
"2752"	"stable"	"hard"	"gbm"	115	1	-19	10
"2776"	"stable"	"hard"	"gbm"	116	2	7	20
"2800"	"stable"	"hard"	"gbm"	117	22	-19	-1
"2824"	"stable"	"hard"	"gbm"	118	51	-9	-29
"2848"	"stable"	"hard"	"gbm"	119	-4	-38	-30
"2872"	"stable"	"hard"	"gbm"	120	-10	31	33
"2896"	"stable"	"hard"	"gbm"	121	-15	38	-15
"2920"	"stable"	"hard"	"gbm"	122	18	-48	44
"2944"	"stable"	"hard"	"gbm"	123	12	32	-11
"2968"	"stable"	"hard"	"gbm"	124	-35	6	34
"2992"	"stable"	"hard"	"gbm"	125	75	8	-72
"3016"	"stable"	"hard"	"gbm"	126	9	-37	-36
"3040"	"stable"	"hard"	"gbm"	127	32	0	20
"3064"	"stable"	"hard"	"gbm"	128	17	-5	56
"3088"	"stable"	"hard"	"gbm"	129	38	-19	-37
"3112"	"stable"	"hard"	"gbm"	130	5	23	37
"3136"	"stable"	"hard"	"gbm"	131	28	-63	-46
"3160"	"stable"	"hard"	"gbm"	132	-3	-25	-43
"3184"	"stable"	"hard"	"gbm"	133	21	11	59
"3208"	"stable"	"hard"	"gbm"	134	-41	-68	-7
"3232"	"stable"	"hard"	"gbm"	135	-70	-58	22
"3256"	"stable"	"hard"	"gbm"	136	18	-49	-10
"3280"	"stable"	"hard"	"gbm"	137	22	20	41
"3304"	"stable"	"hard"	"gbm"	138	36	28	27
"3328"	"stable"	"hard"	"gbm"	139	-25	-23	49
"3352"	"stable"	"hard"	"gbm"	140	-16	-27	-16
"3376"	"stable"	"hard"	"gbm"	141	19	16	18
"3400"	"stable"	"hard"	"gbm"	142	43	32	48
"3424"	"stable"	"hard"	"gbm"	143	-41	2	-38
"3448"	"stable"	"hard"	"gbm"	144	-52	-1	-10
"3472"	"stable"	"hard"	"gbm"	145	15	10	0
"3496"	"stable"	"hard"	"gbm"	146	-56	-6	-28
"3520"	"stable"	"hard"	"gbm"	147	31	-30	1
"3544"	"stable"	"hard"	"gbm"	148	4	6	-4
"3568"	"stable"	"hard"	"gbm"	149	0	-32	-22
"3592"	"stable"	"hard"	"gbm"	150	5	-7	13
"3616"	"stable"	"hard"	"gbm"	151	-19	30	3
"3640"	"stable"	"hard"	"gbm"	152	16	22	32
"3664"	"stable"	"hard"	"gbm"	153	15	-43	-11
"3688"	"stable"	"hard"	"gbm"	154	40	11	1
"3712"	"stable"	"hard"	"gbm"	155	-16	47	25
"3736"	"stable"	"hard"	"gbm"	156	4	-8	4
"3760"	"stable"	"hard"	"gbm"	157	-58	12	-5
"3784"	"stable"	"hard"	"gbm"	158	32	-40	-25
"3808"	"stable"	"hard"	"gbm"	159	59	-52	0
"3832"	"stable"	"hard"	"gbm"	160	43	-46	-19
"3856"	"stable"	"hard"	"gbm"	161	5	-9	-63
"3880"	"stable"	"hard"	"gbm"	162	15	-25	29
"3904"	"stable"	"hard"	"gbm"	163	-46	-5	-51
"3928"	"stable"	"hard"	"gbm"	164	30	29	-27
"3952"	"stable"	"hard"	"gbm"	165	-6	-20	30
"3976"	"stable"	"hard"	"gbm"	166	-3	8	6
"4000"	"stable"	"hard"	"gbm"	167	-1	31	-19
"4024"	"stable"	"hard"	"gbm"	168	3	13	26
"4048"	"stable"	"hard"	"gbm"	169	-24	-4	53
"4072"	"stable"	"hard"	"gbm"	170	15	-34	1
"4096"	"stable"	"hard"	"gbm"	171	39	-7	-21
"4120"	"stable"	"hard"	"gbm"	172	-24	24	42
